Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE279013,H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 2],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,hair follicle stem cell quiescence and epigenetic regulation,"The study directly assays hair follicle stem cells to investigate their quiescence and activation, making it central to hair biology.",Title explicitly states 'hair follicle stem cell quiescence' || Summary focuses on hair follicle stem cells (HFSCs) and their regulation || Overall_Design describes isolation and sorting of HFSCs from mouse back skin,include || include,include
GSE279012,H2AK119ub dynamics controls hair follicle stem cell quiescence [RNA-Seq 1],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,hair follicle stem cell quiescence and epigenetic regulation,"The study directly investigates hair follicle stem cell biology, making it highly relevant to a hair follicle omics collection.","Title explicitly states 'hair follicle stem cell quiescence' || Summary focuses on hair follicle stem cells (HFSCs) and their regulation || Overall design describes isolation of HFSCs from mouse back skin using specific markers (EpCAM+, Sca1-, α6-integrin high, CD34+)",include || include,include
GSE261821,The G-Protein-Coupled Receptor Kinase 2 (GRK2) Orchestrates Hair Follicle Homeostasis,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle homeostasis and hair loss mechanisms,"The study directly investigates hair follicle biology, using hair follicle stem cells as the primary sample, and addresses mechanisms of hair loss.","Title explicitly states 'Hair Follicle Homeostasis' || Summary describes study of hair follicle cycling, stem cells, dermal papilla, and hair loss || Overall design uses hair follicle stem cells (HFSCs) as the profiled sample",include || include,include
GSE273335,Identification of unique mesenchymal subpopulations for regenerating follicular and interfollicular epithelia after devastating necrosis in the skin graft,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hair follicle regeneration and dermal papilla cells in skin graft,"The study directly investigates hair follicle regeneration, dermal papilla cells, and follicular development as primary biological subjects.",Title mentions 'regenerating follicular... epithelia' || Summary states 'regeneration processes of the follicular and interfollicular tissues' || Summary highlights 'Dermal papilla cells' and their role in 'follicular development' || Summary identifies a mesenchymal subpopulation contributing to 'follicular... epithelial regeneration',include || include,review
GSE237520,Single-cell transcriptomic reconstruction of the human hair cycle: Capturing the temporal dynamics of skin tissue remodeling,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.98,Human hair cycle dynamics in hair follicles and surrounding dermis,"The study directly profiles hair follicles across different hair cycle phases, making hair biology the central subject.",Title explicitly states single-cell transcriptomic reconstruction of the human hair cycle || Summary describes obtaining scRNA-seq from human skin samples containing a single hair to investigate hair cycle phases || Interfollicular epidermis was removed to focus analysis on hair follicles and surrounding dermis || Overall design details dissection of single-hair samples and non-hair controls for comparison,include || include,include
GSE288124,"Single-cell sequencing WT and PADI4 cKO skin, P1",include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Hair follicle development and progenitor cell regulation by PADI4,"The study's primary biological subject is hair follicle development, with scRNA-seq directly assaying hair lineage cells to investigate PADI4 function.","Title mentions skin but summary explicitly focuses on hair follicle development || Summary states: 'exploit the well characterized and stereotyped hair follicle development to delineate the function of PADI4' || Summary: 'Padi4 in both progenitor and differentiated hair lineage cells during hair follicle development' || Summary: 'PADI4 contributes to hair follicle development by repressing progenitor cell proliferation' || Overall design uses P1 mouse back skin, a common model for hair follicle morphogenesis",include || include,include
GSE291220,Serotonin activates dermal papilla cells and promotes hair growth,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,human dermal papilla cells and hair growth,"The study directly assays dermal papilla cells, a key hair follicle component, and investigates hair growth promotion.",Title: 'Serotonin activates dermal papilla cells and promotes hair growth' || Summary: 'effects of serotonin (5HT) or sumatriptan on the hair growth ability of dermal papilla cells' || Overall_Design: 'gene expression of human dermal papilla cells with/without serotonin (5HT) or sumatriptan treatment',include || include,include
GSE248615,Antagonistic stem cell fates under stress govern decisions between hair greying and melanoma,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair greying and melanoma from melanocyte stem cells,"The study directly addresses hair greying as a central biological question, involving melanocyte stem cells in the hair follicle.",Title explicitly mentions hair greying || Study investigates stem cell fates related to hair pigmentation,include || include,include
GSE248614,Antagonistic stem cell fates under stress govern decisions between hair greying and melanoma [RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Melanocyte stem cells and hair graying,The study directly assays hair follicle stem cells and investigates hair graying as a primary biological endpoint.,Title mentions hair greying and stem cell fates || Summary describes melanocyte stem cell depletion leading to hair graying || Overall design specifies FACS-purified hair follicle stem cells/hair germ,include || include,include
GSE281669,Hair Follicle Epithelial Stem Cells Contributing to Interfollicular Epidermis during Homeostasis [single-cell RNA-seq],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle epithelial stem cells and their contribution to interfollicular epidermis,"The study directly assays hair follicle epithelial stem cells and investigates their role in epidermal homeostasis, making hair follicle biology a primary subject.","Title explicitly states 'Hair Follicle Epithelial Stem Cells' || Summary describes KROX20 marking stem cells in the upper and middle mouse hair follicle || Lineage tracing shows migration from hair follicle to interfollicular epidermis || Samples are FACS-sorted Krox20-expressing cells from epidermis, which include hair follicle stem cells",include || include,include
GSE277469,Integrated single-cell chromatin and transcriptomic analyses of human peripheral immune cells in patients with alopecia areata.,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Alopecia areata peripheral immune cells,"Alopecia areata is the primary disease under study, and the omics experiment is designed to understand its immune mechanisms, even though the profiled samples are peripheral blood.",Title explicitly states 'patients with alopecia areata' || Summary aims to investigate gene expression and epigenetic changes in circulating immune cells across alopecia areata severity || Overall design compares severe and mild alopecia areata patients with healthy controls,include || include,include
GSE273109,Hair follicle stem cell fate supports distinct clinical endotypes in Hidradenitis Suppurativa,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell fate in Hidradenitis Suppurativa,"Hair follicle cells are the directly assayed sample and the primary biological subject, with the study investigating hair follicle stem cell fate and its role in HS endotypes.","Title explicitly states 'Hair follicle stem cell fate' || Summary describes scRNA-seq on hair follicle cells from HS patients and healthy donors || Overall design: single-cell RNA-Sequencing on hair follicles samples from 5 HS patients and 2 healthy donors || Study identifies hair follicle matrix and non-matrix lineages, and stem cell differentiation pathways",include || include,include
